id,hr_relevance,hr_complexity,hr_clarity,hr_creativity,hr_breadth,hr_feedback_pot,gr_relevance,gr_complexity,gr_clarity,gr_creativity,gr_breadth,gr_feedback_pot,hr_score,gr_score
38,10,5,10,4,7,5,10,4,10,3,7,5,41,39
35,10,3,10,3,6,7,10,5,10,4,8,6,39,43
25,10,3,10,2,5,3,9,7,10,4,8,7,33,45
32,10,4,10,3,5,3,10,3,10,2,8,7,35,40
36,10,3,10,3,5,4,9,5,10,4,8,5,35,41
28,10,5,10,3,7,5,10,4,10,3,7,5,40,39
21,9,3,10,3,6,6,9,4,10,3,5,3,37,34
27,9,3,10,3,5,3,10,5,10,3,7,5,33,40
37,10,6,10,4,9,5,9,2,10,2,8,3,44,34
40,10,3,10,2,8,3,8,5,10,4,6,5,36,38
23,10,6,10,4,8,6,10,4,10,3,5,3,44,35
34,9,5,10,3,5,4,10,6,10,4,8,6,36,44
22,9,4,10,3,5,3,9,4,10,4,5,4,34,36
39,10,4,10,3,5,5,10,4,10,3,7,5,37,39
26,9,5,10,4,7,5,10,5,10,3,5,3,40,36
31,10,4,10,3,5,3,10,5,10,5,8,7,35,45
24,10,3,10,3,5,3,10,5,10,4,9,5,34,43
33,10,4,10,3,6,6,10,4,10,3,5,3,39,35
30,9,6,10,5,8,3,10,5,10,3,7,5,41,40
29,10,4,10,3,6,7,10,4,10,3,5,3,40,35
21,10,4,10,3,5,4,10,6,10,3,6,4,36,39
61,10,3,10,3,5,7,10,3,10,2,3,3,38,31
63,10,3,10,3,5,4,10,4,10,3,7,7,35,41
64,10,2,10,2,7,4,10,3,10,2,5,4,35,34
76,10,3,10,4,4,4,10,4,10,3,6,7,35,40
65,10,5,10,4,8,7,10,3,10,2,5,5,44,35
62,10,2,10,2,5,5,8,5,10,4,7,5,34,39
72,10,3,10,4,7,4,10,3,10,3,6,7,38,39
78,10,4,10,3,6,6,10,2,10,2,5,5,39,34
77,10,7,10,5,8,6,10,5,10,3,7,5,46,40
79,10,5,10,3,7,5,9,5,10,4,7,5,40,40
74,10,3,10,2,5,5,10,3,10,3,5,7,35,38
80,10,3,10,2,8,3,10,3,10,3,7,7,36,40
73,10,5,10,3,5,4,10,4,10,4,8,6,37,42
70,10,3,10,2,4,3,10,2,10,2,5,3,32,32
67,10,4,10,3,7,4,9,4,10,4,7,5,38,39
68,10,3,10,3,7,5,10,4,10,3,4,4,38,35
69,8,5,10,4,6,5,8,5,10,3,6,5,38,37
71,8,5,10,4,6,5,10,4,10,3,7,5,38,39
75,10,3,10,2,5,3,8,4,10,3,5,4,33,34
66,10,3,10,3,8,4,9,4,10,3,5,5,38,36
42,9,4,10,3,5,3,10,6,10,4,8,6,34,44
53,10,4,10,3,7,7,10,3,10,2,5,3,41,33
51,10,2,10,2,5,3,10,3,10,3,5,3,32,34
45,10,5,10,4,7,5,10,7,10,5,9,7,41,48
52,10,5,10,4,8,6,10,6,10,4,9,7,43,46
43,10,7,10,4,9,4,9,4,10,3,6,8,44,40
59,10,4,10,3,5,5,10,5,10,4,8,7,37,44
46,10,3,10,2,5,3,10,7,10,5,8,8,33,48
48,10,5,10,3,8,7,10,5,10,4,8,6,43,43
60,10,4,10,3,7,6,10,4,10,3,8,8,40,43
47,10,4,10,3,5,3,10,4,10,3,6,6,35,39
50,10,6,10,4,9,8,10,4,10,3,5,3,47,35
58,10,5,10,3,7,4,10,5,10,3,8,7,39,43
55,9,5,10,3,9,5,10,5,10,3,8,5,41,41
49,10,6,10,5,8,8,10,6,10,4,7,7,47,44
44,8,7,10,5,8,7,10,7,10,5,8,6,45,46
56,10,6,10,5,8,7,10,6,10,4,8,7,46,45
41,10,6,10,4,9,8,10,4,10,4,6,6,47,40
57,10,5,10,4,8,6,10,6,10,4,9,5,43,44
54,10,5,10,3,9,3,10,4,10,3,7,7,40,41
51,9,3,9,3,5,3,10,3,10,2,8,3,32,36
96,10,5,10,3,8,6,10,3,10,4,5,3,42,35
86,10,3,10,2,5,5,10,3,10,4,6,7,35,40
90,10,8,10,5,8,7,10,8,10,5,9,7,48,49
92,10,6,10,5,9,7,10,8,10,5,9,7,47,49
100,10,8,10,5,8,6,10,8,10,5,8,7,47,48
93,10,3,10,5,8,4,10,2,10,2,6,7,40,37
88,10,2,10,2,5,2,10,3,10,2,5,5,31,35
89,10,6,10,5,8,7,10,7,10,5,8,7,46,47
98,10,7,10,5,9,8,10,8,10,5,9,7,49,49
81,10,8,10,5,9,7,10,7,10,5,8,7,49,47
85,10,8,10,5,9,7,10,8,10,5,8,7,49,48
87,10,8,10,5,9,5,10,8,10,5,9,8,47,50
84,10,7,10,5,8,7,10,8,10,5,8,7,47,48
94,10,6,10,4,9,8,10,8,10,5,9,7,47,49
97,10,3,10,2,5,3,10,5,10,4,6,5,33,40
91,10,8,9,5,8,6,10,8,10,5,9,6,46,48
95,10,7,10,5,8,7,10,8,10,5,8,6,47,47
99,10,3,10,4,5,3,10,4,10,4,8,5,35,41
83,10,8,10,4,9,8,10,7,10,5,8,7,49,47
82,10,8,10,5,9,7,10,6,10,5,9,8,49,48
100,10,6,10,5,9,7,10,8,10,5,9,7,47,49
5,10,3,10,3,5,8,10,6,10,4,8,5,39,43
1,10,8,10,5,8,6,10,8,10,4,8,6,47,46
17,10,8,10,4,9,6,10,5,10,4,9,8,47,46
10,10,7,10,4,9,8,10,6,10,4,8,8,48,46
14,10,8,10,6,9,7,10,7,10,5,8,7,50,47
20,10,2,10,2,2,5,10,2,10,2,9,3,31,36
9,10,3,10,2,3,3,10,2,10,2,2,3,31,29
7,10,8,10,4,8,8,10,6,10,5,8,7,48,46
19,10,8,10,5,8,7,10,8,10,4,8,8,48,48
3,10,5,10,4,8,6,10,5,10,4,8,5,43,42
11,10,2,10,2,2,3,10,2,10,2,2,4,29,30
6,10,7,10,4,9,8,10,8,10,5,9,8,48,50
2,10,2,10,2,3,5,10,2,10,2,5,3,32,32
4,10,4,10,3,6,7,9,4,9,3,5,3,40,33
16,10,8,10,5,8,8,10,6,10,4,8,8,49,46
8,10,8,10,5,8,8,10,6,10,5,8,5,49,44
13,10,6,10,4,7,7,10,5,10,3,7,4,44,39
15,10,6,10,4,8,5,10,8,10,4,9,8,43,49
12,9,5,10,4,6,3,10,4,10,3,5,5,37,37
18,10,6,10,4,7,7,10,8,10,4,9,8,44,49
18,10,8,10,5,9,8,10,6,10,5,6,8,50,45
58,10,7,10,5,9,7,10,6,10,4,7,5,48,42
50,10,6,10,4,7,5,10,6,10,4,8,5,42,43
44,10,5,10,4,7,6,10,5,10,3,8,8,42,44
42,10,5,10,3,8,5,10,5,10,3,8,5,41,41
54,10,4,10,3,5,5,10,4,10,3,5,3,37,35
45,10,6,10,4,8,7,10,6,10,4,8,5,45,43
51,10,4,10,3,7,6,10,4,10,3,6,6,40,39
48,10,5,10,3,8,5,10,5,10,3,8,5,41,41
57,10,5,10,3,8,6,10,6,10,4,8,6,42,44
53,10,4,10,3,5,3,10,4,10,3,6,6,35,39
47,10,3,10,3,5,3,10,5,10,4,8,6,34,43
43,10,6,10,4,8,8,10,6,10,4,8,7,46,45
60,10,6,10,4,8,7,10,6,10,4,8,7,45,45
46,10,5,10,3,8,6,10,5,10,3,8,7,42,43
52,10,7,10,5,8,6,10,5,10,4,8,6,46,43
56,10,6,10,4,7,5,10,5,10,4,8,7,42,44
59,10,7,10,4,8,7,10,6,10,4,9,8,46,47
41,10,7,10,5,8,7,10,5,10,3,8,4,47,40
55,10,5,10,3,8,4,10,5,10,4,8,5,40,42
49,10,6,10,4,8,5,10,6,10,4,8,5,43,43
26,10,5,10,3,8,7,9,3,10,3,5,3,43,33
34,10,5,10,4,9,3,10,5,10,3,8,7,41,43
28,10,5,10,3,8,6,10,5,10,3,8,7,42,43
27,10,5,10,3,8,7,10,4,10,3,8,7,43,42
35,10,4,10,3,8,4,10,5,10,3,8,7,39,43
36,9,5,10,4,8,6,10,3,10,3,5,3,42,34
39,10,7,10,5,8,6,10,5,10,4,9,8,46,46
22,10,4,10,3,5,5,10,4,10,3,8,7,37,42
21,10,4,10,3,8,4,10,5,10,3,8,5,39,41
24,9,6,10,4,8,7,9,4,10,3,8,6,44,40
25,9,4,10,3,5,3,10,3,10,2,5,3,34,33
23,10,6,10,3,7,5,10,6,10,3,7,6,41,42
29,10,5,10,3,8,7,10,5,10,3,6,6,43,40
40,10,5,10,3,8,7,10,5,10,3,9,7,43,44
38,9,3,10,3,5,3,10,5,10,3,8,7,33,43
37,9,5,10,4,6,4,10,4,10,3,5,3,38,35
33,9,3,10,2,5,3,10,3,10,2,5,6,32,36
31,10,5,10,3,8,7,10,4,10,3,5,3,43,35
32,10,3,10,2,5,3,8,6,10,4,7,5,33,40
30,10,5,10,4,6,4,9,7,9,4,8,6,39,43
26,10,4,10,3,7,5,10,5,10,3,8,7,39,43
80,10,5,10,3,6,8,9,3,10,2,4,3,42,31
78,10,2,10,2,5,7,10,4,10,3,4,5,36,36
72,10,2,10,2,6,7,10,5,10,3,6,5,37,39
66,10,3,10,2,5,7,10,4,10,3,6,5,37,38
62,9,6,10,5,7,7,10,4,10,3,8,4,44,39
70,10,5,10,3,5,4,10,4,10,3,6,4,37,37
68,10,2,10,2,5,5,8,5,10,4,6,5,34,38
67,10,4,10,3,6,5,10,2,10,2,2,3,38,29
64,10,2,10,2,5,6,10,3,10,2,5,3,35,33
71,10,5,10,3,7,7,10,4,10,3,8,7,42,42
61,8,6,10,5,7,7,10,4,10,3,7,7,43,41
75,10,3,10,2,5,3,8,5,10,3,6,5,33,37
79,10,2,10,2,5,3,10,2,10,3,5,6,32,36
65,8,4,10,3,6,5,10,3,10,2,5,7,36,37
63,10,3,10,4,6,3,10,2,10,2,5,5,36,34
77,8,5,10,3,5,5,10,5,10,3,6,6,36,40
73,10,3,10,2,5,3,10,5,10,3,6,5,33,39
69,8,5,10,4,6,5,8,4,10,3,5,5,38,35
74,10,3,10,2,5,5,10,3,10,3,5,4,35,35
76,10,3,10,2,5,5,8,4,10,3,6,5,35,36
20,10,2,10,2,2,5,10,2,10,2,2,5,31,31
2,10,2,10,2,2,3,10,2,10,2,2,3,29,29
13,10,7,10,5,7,6,10,6,10,4,8,7,45,45
12,10,6,10,4,8,7,10,4,10,3,5,3,45,35
5,10,7,10,4,9,8,10,6,10,4,8,7,48,45
16,10,6,10,4,8,7,10,8,10,4,9,8,45,49
1,10,4,10,3,8,5,10,8,10,5,8,6,40,47
11,10,2,10,2,2,5,10,2,10,2,4,3,31,31
3,10,4,10,3,8,6,10,4,10,3,5,6,41,38
17,10,8,10,4,8,8,10,4,10,3,8,5,48,40
15,10,4,10,3,5,5,10,4,10,3,8,6,37,41
10,10,8,10,5,8,6,10,8,10,4,9,8,47,49
8,10,6,10,4,8,7,10,8,10,5,8,6,45,47
4,10,4,10,3,8,7,10,4,10,3,8,7,42,42
19,10,4,10,3,8,5,10,7,10,4,8,8,40,47
9,10,2,10,2,5,3,10,2,10,2,5,3,32,32
18,10,8,10,4,9,8,10,8,10,5,9,7,49,49
6,10,8,10,4,9,8,10,8,10,5,8,7,49,48
7,10,4,10,3,5,5,10,4,10,3,5,5,37,37
14,10,7,10,4,9,8,10,7,10,5,9,7,48,48
15,10,8,10,5,9,7,10,8,10,5,9,8,49,50
81,10,8,10,5,9,7,10,8,10,5,9,7,49,49
89,10,8,10,5,9,7,10,8,10,5,9,7,49,49
85,10,8,10,5,9,7,10,8,10,6,9,7,49,50
91,10,8,10,5,8,6,10,8,10,5,9,6,47,48
87,10,8,10,5,9,6,9,7,10,5,8,6,48,45
82,10,8,10,5,9,7,10,5,10,3,7,5,49,40
88,10,3,10,2,5,3,10,2,10,2,4,8,33,36
86,10,3,10,2,5,3,10,3,10,2,5,5,33,35
100,10,8,10,5,9,7,10,8,10,5,9,7,49,49
95,10,8,10,3,9,7,9,8,10,6,8,7,47,48
84,10,8,10,5,9,7,10,8,10,5,9,7,49,49
93,10,5,10,3,6,5,10,2,10,2,8,3,39,35
96,10,2,10,2,5,3,10,3,10,2,3,3,32,31
97,10,4,10,2,8,7,10,5,10,3,6,7,41,41
99,10,4,10,2,7,6,10,4,10,2,5,5,39,36
90,10,8,10,5,9,5,10,8,10,5,9,7,47,49
98,10,8,10,5,9,7,10,7,10,5,8,6,49,46
94,10,8,10,5,9,7,10,8,10,5,9,7,49,49
83,10,8,10,5,9,8,10,8,10,5,9,7,50,49
92,10,8,10,6,9,7,10,8,10,5,9,7,50,49
85,10,7,10,4,9,8,10,8,10,5,9,7,48,49
